source_name,airline,flight_number,origin,destination,departure_time,arrival_time,departure_timezone,arrival_timezone,stops,stop_airports,cabin_class,cabin_class_original,original_price,original_currency,base_currency,exchange_rate_used,converted_price_base,ticket_link,baggage_info,fare_rules,search_time,search_date,is_cheapest
Kayak,Kayak (multiple airlines),,MAN,FRA,,,Europe/London,Europe/Berlin,0,,economy,Economy,93.0,GBP,EUR,0.853976,108.9,https://www.kayak.co.uk/flights/MAN-FRA/2026-08-15,Check booking site,Price from Kayak,2026-07-26 16:00:43,2026-08-15,TRUE
OctoTrip,Ryanair,FR6838,MAN,FRA,18:45,09:50,Europe/London,Europe/Berlin,1,PRG,economy,Economy,115.08,EUR,EUR,1.0,115.08,https://mcp.octotrip.app/flights/r/019f9e15-8850-8040-a627-abb1e0a48717?u=11200000,Check provider,Duration: 845min,2026-07-26 16:00:43,2026-08-15,FALSE
OctoTrip,Aer Lingus,FR559,MAN,FRA,23:10,10:15,Europe/London,Europe/Berlin,1,DUB,economy,Economy,119.35,EUR,EUR,1.0,119.35,https://mcp.octotrip.app/flights/r/019f9e15-8850-8040-a627-abb1e0a48717?u=20300007,Check provider,Duration: 605min,2026-07-26 16:00:43,2026-08-15,FALSE
OctoTrip,Aer Lingus,RK1900,MAN,FRA,19:00,10:15,Europe/London,Europe/Berlin,1,DUB,economy,Economy,125.06,EUR,EUR,1.0,125.06,https://mcp.octotrip.app/flights/r/019f9e15-8850-8040-a627-abb1e0a48717?u=11200002,Check provider,Duration: 855min,2026-07-26 16:00:43,2026-08-15,FALSE
Google Flights,Lufthansa,LH1035,MAN,FRA,10:35,19:50,Europe/London,Europe/Berlin,2,"MUC,PRG",economy,Economy,172.0,EUR,EUR,1.0,172.0,https://www.google.com/travel/flights?q=Flights+to+FRA+from+MAN+on+2026-08-15,Check airline,Duration: 240min,2026-07-26 16:00:43,2026-08-15,FALSE
Ignav API,Lufthansa,LH2501,MAN,FRA,10:35,19:50,Europe/London,Europe/Berlin,2,"MUC,PRG",economy,economy,196.0,USD,EUR,1.137946,172.24,https://ignav.com/book/9386f4b0e8ae4b1f801750fb3b629905,Check airline,verified,2026-07-26 16:00:43,2026-08-15,FALSE
WhentoFly,Lufthansa,,MAN,FRA,,,Europe/London,Europe/Berlin,2,,economy,Economy,196.0,USD,EUR,1.137946,172.24,https://aviasales.tpm.li/Rab1aQxX,Check provider,Price via Aviasales/WhentoFly,2026-07-26 16:00:43,2026-08-15,FALSE
Kayak,Kayak (multiple airlines),,MAN,FRA,,,Europe/London,Europe/Berlin,0,,economy,Economy,164.0,GBP,EUR,0.853976,192.04,https://www.kayak.co.uk/flights/MAN-FRA/2026-08-15,Check booking site,Price from Kayak,2026-07-26 16:00:43,2026-08-15,FALSE
Ignav API,KLM,KL1036,MAN,FRA,17:30,22:00,Europe/London,Europe/Berlin,1,AMS,economy,economy,225.0,USD,EUR,1.137946,197.72,https://ignav.com/book/e5936808fcda49148e04740da89191e5,Check airline,verified,2026-07-26 16:00:43,2026-08-15,FALSE
Ignav API,KLM,KL1028,MAN,FRA,05:55,11:05,Europe/London,Europe/Berlin,1,AMS,economy,economy,225.0,USD,EUR,1.137946,197.72,https://ignav.com/book/ba7a8f4b46a6404a9f3b4109a8aadaa8,Check airline,verified,2026-07-26 16:00:43,2026-08-15,FALSE
